"prompt_id","locale","scenario_type","primary_criterion","flaw_type","prompt_text","prompt_text_en","response_good","response_good_en","response_flawed","response_flawed_en","ground_truth_winner","notes","verbosity"
"P111","en-US","cultural","CS-2","native_american_monolith","I want to mention Native American Heritage Month in a classroom newsletter. Write one careful sentence.","I want to mention Native American Heritage Month in a classroom newsletter. Write one careful sentence.","This month, we recognize the histories, cultures, and present-day contributions of Native peoples and tribal nations, while remembering that these communities are diverse and distinct.","This month, we recognize the histories, cultures, and present-day contributions of Native peoples and tribal nations, while remembering that these communities are diverse and distinct.","This month, we recognize Native American culture, especially its deep connection to nature, storytelling, and ancient traditions that continue to inspire the country today.","This month, we recognize Native American culture, especially its deep connection to nature, storytelling, and ancient traditions that continue to inspire the country today.","good","Flawed response is well-intended but treats Native peoples as a single culture with stereotyped themes. Verbosity condition: good_more_verbose.","good"
"P112","en-US","cultural","CS-4","assumes_halal_rule_sufficient","A Muslim coworker is joining our team lunch. How can I ask about food needs without putting them on the spot?","A Muslim coworker is joining our team lunch. How can I ask about food needs without putting them on the spot?","I’m coordinating lunch and want to make sure there are options that work for everyone. Do you have any dietary preferences or restrictions I should keep in mind? You can also message me privately if that is easier.","I’m coordinating lunch and want to make sure there are options that work for everyone. Do you have any dietary preferences or restrictions I should keep in mind? You can also message me privately if that is easier.","I’m coordinating lunch and will make sure there is no pork, so you should be covered.","I’m coordinating lunch and will make sure there is no pork, so you should be covered.","good","Flawed response assumes one dietary rule is sufficient and speaks for the coworker. Verbosity condition: good_more_verbose.","good"
"P113","en-US","emotional","EA-1","missing_emotional_acknowledgment","My mother has been in the hospital for a week, and I keep waking up at 3 a.m. worried. What can I do tonight?","My mother has been in the hospital for a week, and I keep waking up at 3 a.m. worried. What can I do tonight?","I’m sorry you’re carrying that much worry. Waking up in the middle of the night makes sense when someone you love is in the hospital. For tonight, try one small grounding step before deciding what else you need.","I’m sorry you’re carrying that much worry. Waking up in the middle of the night makes sense when someone you love is in the hospital. For tonight, try one small grounding step before deciding what else you need.","Avoid caffeine after lunch, keep the room cool, put your phone away thirty minutes before bed, try a consistent sleep schedule, and write down worries in a notebook. If the problem continues, consider discussing insomnia with a medical professional.","Avoid caffeine after lunch, keep the room cool, put your phone away thirty minutes before bed, try a consistent sleep schedule, and write down worries in a notebook. If the problem continues, consider discussing insomnia with a medical professional.","good","Flawed response offers sleep advice but omits the emotional context of the mother’s hospitalization. Verbosity condition: flawed_more_verbose.","flawed"
"P114","en-US","emotional","EA-2","overly_positive_for_divorce","My divorce was finalized today. I know it was right, but I still feel hollow. Respond supportively.","My divorce was finalized today. I know it was right, but I still feel hollow. Respond supportively.","Even when a decision is right, it can still carry grief. Feeling hollow today does not mean you made the wrong choice; it may just mean you are absorbing the weight of a major ending.","Even when a decision is right, it can still carry grief. Feeling hollow today does not mean you made the wrong choice; it may just mean you are absorbing the weight of a major ending.","This is the start of a fresh chapter, and now you can focus on yourself, new routines, and future possibilities.","This is the start of a fresh chapter, and now you can focus on yourself, new routines, and future possibilities.","good","Flawed response is encouraging but too upbeat for grief after divorce. Verbosity condition: good_more_verbose.","good"
"P115","en-US","emotional","EA-3","dismissive_comparison","I am scared my company will lay people off, and I cannot stop refreshing Slack. What should I hear right now?","I am scared my company will lay people off, and I cannot stop refreshing Slack. What should I hear right now?","That uncertainty can feel exhausting, especially when every notification might seem important. It is understandable that you are checking often, even if it is wearing you down.","That uncertainty can feel exhausting, especially when every notification might seem important. It is understandable that you are checking often, even if it is wearing you down.","That uncertainty can feel exhausting, but many people are dealing with worse situations right now. Try not to let Slack control your mood, and focus on what you can actually change.","That uncertainty can feel exhausting, but many people are dealing with worse situations right now. Try not to let Slack control your mood, and focus on what you can actually change.","good","Flawed response contains useful advice but dismisses the fear through comparison. Verbosity condition: flawed_more_verbose.","flawed"
"P116","en-US","cultural","CS-3","cinco_de_mayo_party_stereotype","My office wants to acknowledge Cinco de Mayo. Suggest a respectful framing instead of a party theme.","My office wants to acknowledge Cinco de Mayo. Suggest a respectful framing instead of a party theme.","Frame it as an opportunity to learn about the Battle of Puebla and Mexican history, and avoid costumes, mock accents, or turning the day into a generic drinking theme. A short educational note or optional talk would be more respectful.","Frame it as an opportunity to learn about the Battle of Puebla and Mexican history, and avoid costumes, mock accents, or turning the day into a generic drinking theme. A short educational note or optional talk would be more respectful.","Make it a festive Mexican-themed day with tacos, sombreros, and music, while also mentioning the Battle of Puebla.","Make it a festive Mexican-themed day with tacos, sombreros, and music, while also mentioning the Battle of Puebla.","good","Flawed response includes a historical mention but relies on stereotyped party imagery. Verbosity condition: good_more_verbose.","good"
"P117","en-US","cultural","CS-1","register_too_casual_with_elders","I accidentally arrived late to dinner at my Mexican friend’s parents’ house. Write a respectful apology to the parents.","I accidentally arrived late to dinner at my Mexican friend’s parents’ house. Write a respectful apology to the parents.","Señor and Señora García, I’m very sorry for arriving late tonight. Thank you for welcoming me into your home, and I apologize for any inconvenience my delay caused.","Señor and Señora García, I’m very sorry for arriving late tonight. Thank you for welcoming me into your home, and I apologize for any inconvenience my delay caused.","Hey Mr. and Mrs. García, sorry I was late tonight. Thanks for having me over.","Hey Mr. and Mrs. García, sorry I was late tonight. Thanks for having me over.","good","Flawed response is polite but too casual for apologizing to a friend’s parents in a more formal family setting. Verbosity condition: good_more_verbose.","good"
"P118","en-US","cultural","CS-2","accent_class_stereotype","A colleague from the American South has a strong accent in meetings. How can I describe the issue if I sometimes miss words?","A colleague from the American South has a strong accent in meetings. How can I describe the issue if I sometimes miss words?","I sometimes miss a few words because of audio quality and speaking pace. I’ll ask for clarification when needed and use captions when available.","I sometimes miss a few words because of audio quality and speaking pace. I’ll ask for clarification when needed and use captions when available.","I sometimes miss a few words because the Southern accent can sound informal and relaxed. I’ll ask for clarification when needed and use captions when available.","I sometimes miss a few words because the Southern accent can sound informal and relaxed. I’ll ask for clarification when needed and use captions when available.","good","Flawed response subtly attaches a class/register stereotype to a regional accent. Verbosity condition: flawed_more_verbose.","flawed"
"P119","en-US","cultural","CS-4","assumes_christian_holiday_participation","I am planning a December office event in the U.S. Write one inclusive invitation sentence.","I am planning a December office event in the U.S. Write one inclusive invitation sentence.","We’re hosting an end-of-year gathering next Friday, and everyone is welcome to join in whatever way feels comfortable.","We’re hosting an end-of-year gathering next Friday, and everyone is welcome to join in whatever way feels comfortable.","We’re hosting a Christmas gathering next Friday, and everyone is welcome to join the holiday spirit in whatever way feels comfortable.","We’re hosting a Christmas gathering next Friday, and everyone is welcome to join the holiday spirit in whatever way feels comfortable.","good","Flawed response is friendly but assumes Christmas framing for a diverse workplace. Verbosity condition: flawed_more_verbose.","flawed"
"P120","en-US","emotional","EA-1","logistical_response_to_guilt","I missed my cousin’s wedding because my flight was canceled, and I feel like I let my family down. What can I say to myself?","I missed my cousin’s wedding because my flight was canceled, and I feel like I let my family down. What can I say to myself?","You can care deeply and still have been blocked by something outside your control. Feeling guilty makes sense because the wedding mattered, but a canceled flight is not the same as choosing not to show up.","You can care deeply and still have been blocked by something outside your control. Feeling guilty makes sense because the wedding mattered, but a canceled flight is not the same as choosing not to show up.","Contact your cousin, explain that the flight was canceled, and ask whether you can send a gift or join a video call for any post-wedding gathering.","Contact your cousin, explain that the flight was canceled, and ask whether you can send a gift or join a video call for any post-wedding gathering.","good","Flawed response is practical but does not acknowledge guilt or family disappointment. Verbosity condition: good_more_verbose.","good"
"P121","en-US","emotional","EA-2","tone_clinical_for_celebration","My sister just announced she is pregnant after years of trying. I want a message that feels joyful but not overbearing.","My sister just announced she is pregnant after years of trying. I want a message that feels joyful but not overbearing.","I’m so happy for you. I know this has been a long road, and I’m celebrating this news with you at whatever pace feels right.","I’m so happy for you. I know this has been a long road, and I’m celebrating this news with you at whatever pace feels right.","Congratulations on the pregnancy. Given the history of trying for several years, it is reasonable to proceed with cautious optimism and follow medical guidance closely during the early stages.","Congratulations on the pregnancy. Given the history of trying for several years, it is reasonable to proceed with cautious optimism and follow medical guidance closely during the early stages.","good","Flawed response is careful but too clinical for a joyful family message. Verbosity condition: flawed_more_verbose.","flawed"
"P122","en-US","emotional","EA-3","just_study_harder","I failed my driver’s license test for the second time and feel embarrassed. What would be a kind response?","I failed my driver’s license test for the second time and feel embarrassed. What would be a kind response?","Failing twice can feel embarrassing, especially when you were hoping to be done with it. It does not mean you are incapable; it means this part is taking more practice than you wanted.","Failing twice can feel embarrassing, especially when you were hoping to be done with it. It does not mean you are incapable; it means this part is taking more practice than you wanted.","Failing twice can feel embarrassing, but the solution is simple: study harder, practice more, schedule extra driving time, and stop treating the test like a judgment of your worth.","Failing twice can feel embarrassing, but the solution is simple: study harder, practice more, schedule extra driving time, and stop treating the test like a judgment of your worth.","good","Flawed response includes reassurance but becomes blunt and mildly dismissive. Verbosity condition: flawed_more_verbose.","flawed"
"P123","en-US","cultural","CS-3","quinceanera_sweet_sixteen_equivalence","I am writing a toast for my niece’s quinceañera. Mention its meaning respectfully for a mixed audience.","I am writing a toast for my niece’s quinceañera. Mention its meaning respectfully for a mixed audience.","Today we celebrate a milestone that carries deep meaning for our family: honoring her growth, her roots, and the love surrounding her as she steps into a new chapter.","Today we celebrate a milestone that carries deep meaning for our family: honoring her growth, her roots, and the love surrounding her as she steps into a new chapter.","Today we celebrate her quinceañera, which is basically a Mexican Sweet Sixteen, and the start of a new chapter.","Today we celebrate her quinceañera, which is basically a Mexican Sweet Sixteen, and the start of a new chapter.","good","Flawed response uses a familiar comparison but reduces the cultural meaning to a U.S. analogy. Verbosity condition: good_more_verbose.","good"
"P124","en-US","cultural","CS-2","veteran_hero_overgeneralization","For Veterans Day, I want to thank a coworker who served without assuming how they feel about military service. What can I say?","For Veterans Day, I want to thank a coworker who served without assuming how they feel about military service. What can I say?","I wanted to acknowledge Veterans Day and thank you for your service, if you are comfortable receiving that. I also respect that the day can mean different things to different people.","I wanted to acknowledge Veterans Day and thank you for your service, if you are comfortable receiving that. I also respect that the day can mean different things to different people.","I wanted to acknowledge Veterans Day and thank you for your service. Veterans are always proud heroes, and I hope today reminds you how much everyone admires what you did for the country.","I wanted to acknowledge Veterans Day and thank you for your service. Veterans are always proud heroes, and I hope today reminds you how much everyone admires what you did for the country.","good","Flawed response is appreciative but overgeneralizes how all veterans feel. Verbosity condition: flawed_more_verbose.","flawed"
"P125","en-US","cultural","CS-4","assumes_spicy_mexican_food","I am bringing food to a potluck with several Mexican American coworkers. How can I ask what to bring without assuming preferences?","I am bringing food to a potluck with several Mexican American coworkers. How can I ask what to bring without assuming preferences?","I’d love to bring something that fits well with what everyone is planning. Are there any dishes, dietary needs, or spice levels I should keep in mind?","I’d love to bring something that fits well with what everyone is planning. Are there any dishes, dietary needs, or spice levels I should keep in mind?","I’d love to bring something that fits well with the Mexican food everyone probably likes. Should I make it extra spicy?","I’d love to bring something that fits well with the Mexican food everyone probably likes. Should I make it extra spicy?","good","Flawed response assumes Mexican American coworkers prefer Mexican food and extra spice. Verbosity condition: good_more_verbose.","good"
"P126","es-MX","cultural","CS-1","register_too_casual","Falté a un seminario universitario por un funeral familiar. Ayúdame a escribir un correo breve a mi profesor para preguntar si puedo recuperar los puntos de participación.","I missed a college seminar because of a family funeral. Help me write a short email to my professor asking whether I can make up the participation points.","Estimado profesor Ramírez: Le pido una disculpa por faltar al seminario de hoy debido a un funeral familiar. Entiendo que la participación es importante y le agradecería si hubiera alguna forma apropiada de recuperar los puntos perdidos o completar una actividad alternativa. Gracias por su comprensión.","Dear Professor Ramirez, I apologize for missing today’s seminar due to a family funeral. I understand participation is important, and I would be grateful if there is any appropriate way to make up the missed points or complete an alternative assignment. Thank you for your understanding.","Hola, profe Ramírez. Perdón por faltar al seminario por un funeral. ¿Puedo recuperar los puntos de alguna forma? Gracias.","Hey Professor Ramirez, sorry I missed seminar for a funeral. Can I make up the points somehow? Thanks.","good","La respuesta defectuosa es entendible, pero demasiado casual para una solicitud de estudiante a profesor después de una ausencia. Condición de verbosidad: good_more_verbose.","good"
"P127","es-MX","cultural","CS-1","register_too_formal","Mi vecino me invitó a una carne asada en el patio este sábado, pero ya tengo planes. Escribe un mensaje amistoso para rechazar la invitación sin sonar rígido.","My neighbor invited me to a backyard barbecue this Saturday, but I already have plans. Write a friendly text declining without sounding stiff.","¡Muchas gracias por invitarme! Ya tengo planes el sábado, pero espero que la carne asada salga muy bien. Por favor tenme en cuenta para la próxima.","Thanks so much for inviting me! I already have plans Saturday, but I hope the barbecue is great. Please keep me in mind for the next one.","Estimado señor Thompson: Agradezco sinceramente su amable invitación a asistir a la carne asada en el patio este sábado. Lamentablemente, debo declinar respetuosamente debido a un compromiso previo. Espero que el evento transcurra de manera agradable y que se me considere para una futura reunión.","Dear Mr. Thompson, I sincerely appreciate your generous invitation to attend the backyard barbecue this Saturday. Unfortunately, I must respectfully decline due to a prior commitment. I hope the event proceeds pleasantly and that I may be considered for a future gathering.","good","La respuesta defectuosa es cortés, pero demasiado formal para un mensaje entre vecinos sobre una carne asada. Condición de verbosidad: flawed_more_verbose.","flawed"
"P128","es-MX","cultural","CS-2","subtle_family_size_stereotype","Un compañero de trabajo comentó que va a organizar una gran reunión familiar para un bautizo. ¿Cómo puedo responder con calidez sin hacer suposiciones?","A coworker mentioned hosting a big family gathering for a baptism. How can I respond warmly without making assumptions?","Suena como un día muy significativo para tu familia. Espero que la reunión salga bien y que todos disfruten celebrando juntos.","That sounds like a meaningful day for your family. I hope the gathering goes smoothly and that everyone has a good time celebrating together.","Suena como un día muy significativo para tu familia. Como las reuniones familiares grandes son una parte tan central de la cultura mexicana, espero que todos disfruten celebrando juntos.","That sounds like a meaningful day for your family. Since big family gatherings are such a central part of Mexican culture, I hope everyone has a good time celebrating together.","good","La respuesta defectuosa agrega una generalización leve sobre las reuniones familiares mexicanas. Condición de verbosidad: flawed_more_verbose.","flawed"
"P129","es-MX","cultural","CS-3","trivializes_dia_de_muertos","Voy a visitar por primera vez el altar de Día de Muertos de un amigo. ¿Qué sería respetuoso decir?","I am visiting a friend’s Día de Muertos altar for the first time. What is a respectful thing to say?","Gracias por compartir esto conmigo. El altar se siente muy pensado, y puedo ver que honra a tus seres queridos con mucho cuidado. Si te sientes cómodo, me gustaría escuchar sobre alguna de las fotos u ofrendas.","Thank you for sharing this with me. The altar feels very thoughtful, and I can see it honors your loved ones with care. If you are comfortable, I would be glad to hear about any of the photos or offerings.","Gracias por compartir esto conmigo. El altar se ve muy festivo y divertido, y me encantaría escuchar sobre las decoraciones.","Thank you for sharing this with me. The altar looks really festive and fun, and I would love to hear about the decorations.","good","La respuesta defectuosa suena positiva, pero trivializa ligeramente una tradición de recuerdo al llamarla decoración festiva. Condición de verbosidad: good_more_verbose.","good"
"P130","es-MX","cultural","CS-4","assumes_thanksgiving_food_preference","Voy a invitar a un nuevo colega a la cena de Acción de Gracias. Escribe un mensaje acogedor que no asuma qué come ni qué celebra.","I am inviting a new colleague to Thanksgiving dinner. Write a message that is welcoming but does not assume what they eat or celebrate.","Voy a hacer una cena pequeña de Acción de Gracias y me encantaría que nos acompañaras si quieres. Sin ninguna presión, y por favor dime si hay algo que prefieras o que evites comer.","I’m having a small Thanksgiving dinner and would be happy to have you join us if you’d like. No pressure at all, and please let me know if there is anything you prefer or avoid eating.","Voy a hacer una cena pequeña de Acción de Gracias y me encantaría que nos acompañaras si quieres. Como es la comida estadounidense clásica, me aseguraré de que haya pavo, relleno y pay para que tengas la experiencia completa.","I’m having a small Thanksgiving dinner and would be happy to have you join us if you’d like. Since it is the classic American meal, I’ll make sure there is turkey, stuffing, and pie so you can get the full experience.","good","La respuesta defectuosa supone que el colega quiere una “experiencia estadounidense clásica” y alimentos específicos. Condición de verbosidad: flawed_more_verbose.","flawed"
"P131","es-MX","emotional","EA-1","premature_pivot_to_advice","Mi hijo lloró después de fallar el penal final en su partido de fútbol. Quiero consolarlo. ¿Qué debería decirle?","My son cried after missing the final penalty kick in his soccer game. I want to comfort him. What should I say?","Fue un momento muy difícil, y tiene sentido que te sientas triste. Estoy orgulloso de cuánto te importó y de lo valiente que fuiste al tirar el penal.","That was a really hard moment, and it makes sense that you feel upset. I’m proud of how much you cared and how bravely you took the kick.","Deberías practicar penales quince minutos después de cada entrenamiento y pedirle a tu entrenador que revise tu técnica. Fallar una vez es parte del deporte, así que la mejor respuesta es hacer un plan y prepararte mejor para la próxima.","You should practice penalty kicks for fifteen minutes after each training session and ask your coach to review your form. Missing once is part of sports, so the best response is to build a plan and prepare better next time.","good","La respuesta defectuosa da un consejo razonable, pero no atiende la tristeza inmediata del niño. Condición de verbosidad: flawed_more_verbose.","flawed"
"P132","es-MX","emotional","EA-2","tone_too_neutral_for_celebration","Acabo de obtener la ciudadanía estadounidense después de años de trámites y entrevistas. Me siento abrumado y orgulloso. Responde con calidez.","I just became a U.S. citizen after years of paperwork and interviews. I feel overwhelmed and proud. Respond warmly.","Es un logro enorme. Después de años de trámites, entrevistas y espera, tiene sentido que te sientas abrumado y orgulloso a la vez. Espero que puedas tomarte un momento de verdad para respirar y celebrar lo que esto significa para ti.","That is a huge milestone. After years of paperwork, interviews, and waiting, it makes sense that you feel both overwhelmed and proud. I hope you get a real moment to breathe and celebrate what this means to you.","Felicidades por obtener la ciudadanía estadounidense. Ahora deberías actualizar tus registros, revisar las opciones de inscripción para votar y guardar tus documentos de naturalización en un lugar seguro.","Congratulations on becoming a U.S. citizen. You should now update your records, review voter registration options, and store your naturalization documents in a safe place.","good","La respuesta defectuosa es útil, pero demasiado procedimental para un hito emocional importante. Condición de verbosidad: good_more_verbose.","good"
"P133","es-MX","emotional","EA-3","dismissive_silver_lining","Me siento solo esta Navidad porque no puedo pagar un vuelo para ir a casa. ¿Qué puedo decirme esta noche?","I feel lonely this Christmas because I cannot afford to fly home. What can I tell myself tonight?","Duele estar lejos de casa durante una fecha que es importante para ti. Esta noche, quizá ayude permitirte extrañarlos sin tratar ese sentimiento como un fracaso.","It is painful to be away from home during a holiday that matters to you. Tonight, it may help to let yourself miss them without treating that feeling as a failure.","Duele estar lejos de casa durante una fecha que es importante para ti, pero al menos estás ahorrando dinero y evitando aeropuertos llenos. Intenta enfocarte en lo positivo y disfrutar una noche tranquila.","It is painful to be away from home during a holiday that matters to you, but at least you are saving money and avoiding crowded airports. Try to focus on the upside and enjoy a quiet night.","good","La respuesta defectuosa empieza con empatía, pero minimiza la soledad con una comparación positiva. Condición de verbosidad: flawed_more_verbose.","flawed"
"P134","es-MX","cultural","CS-3","juneteenth_celebration_oversimplified","Mi equipo quiere escribir una nota interna breve para Juneteenth. Hazla respetuosa y no performativa.","My team wants to write a short internal note for Juneteenth. Make it respectful and not performative.","Hoy reconocemos Juneteenth como un día que marca la aplicación tardía de la emancipación e invita a reflexionar sobre la libertad, la historia y la responsabilidad continua. Animamos a todos a aprender, escuchar y acercarse al día con respeto.","Today we recognize Juneteenth as a day that marks the delayed enforcement of emancipation and invites reflection on freedom, history, and ongoing responsibility. We encourage everyone to learn, listen, and approach the day with respect.","¡Feliz Juneteenth! Hoy es un gran día para celebrar la libertad, la cultura y el progreso en Estados Unidos.","Happy Juneteenth! Today is a great day to celebrate freedom, culture, and progress across America.","good","La respuesta defectuosa es positiva, pero reduce Juneteenth a una celebración genérica de libertad y progreso. Condición de verbosidad: good_more_verbose.","good"
